source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Algeria_8372,Algeria,pending,,,,,,,,,,,,,,,
Angola_887950,Angola,ok,0.999425,1.0,0.1660162927016368,0.00676222161075952,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.0017333333333333333,1.0,1.0,1.0,True
Indonesia_58888,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_7482,Iraq,pending,,,,,,,,,,,,,,,
Libya_2811,Libya,pending,,,,,,,,,,,,,,,
Nigeria_163317,Nigeria,ok,0.9993,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_4940,Algeria,pending,,,,,,,,,,,,,,,
Angola_731299,Angola,pending,,,,,,,,,,,,,,,
Indonesia_147529,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_2237,Iraq,pending,,,,,,,,,,,,,,,
Libya_3287,Libya,pending,,,,,,,,,,,,,,,
Nigeria_108843,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_10845,Algeria,pending,,,,,,,,,,,,,,,
Angola_3171,Angola,ok,0.845975,1.0,0.0,0.0,1.0,1.0,1.0,0.8336,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_104042,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_26348,Iraq,pending,,,,,,,,,,,,,,,
Libya_3055,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_43770,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_5491,Algeria,pending,,,,,,,,,,,,,,,
Angola_619866,Angola,ok,0.9787,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_59042,Indonesia,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,0.9984,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_3688,Iraq,pending,,,,,,,,,,,,,,,
Libya_1823,Libya,pending,,,,,,,,,,,,,,,
Nigeria_354508,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_11088,Algeria,pending,,,,,,,,,,,,,,,
Angola_1774,Angola,pending,,,,,,,,,,,,,,,
Indonesia_148572,Indonesia,pending,,,,,,,,,,,,,,,
Iraq_34356,Iraq,pending,,,,,,,,,,,,,,,
Libya_819,Libya,pending,,,,,,,,,,,,,,,
Nigeria_183590,Nigeria,pending,,,,,,,,,,,,,,,
Algeria_5717,Algeria,pending,,,,,,,,,,,,,,,
